,base_market,quote_market,hedge_ratio,half_life
0,SNX-USD,ETC-USD,0.1165831064055242,13.0
1,SNX-USD,LINK-USD,0.34525039722488,18.0
2,SNX-USD,BCH-USD,0.019193940792754858,19.0
3,SNX-USD,CELO-USD,3.1922207674256304,14.0
4,SNX-USD,ENJ-USD,5.331065535335628,19.0
5,SNX-USD,ZRX-USD,10.131391355897424,19.0
6,SNX-USD,TRX-USD,37.6015579165058,13.0
7,SNX-USD,XLM-USD,28.686088460513442,12.0
8,SNX-USD,EOS-USD,2.2537735303876367,19.0
9,SNX-USD,NEAR-USD,1.0398644007838218,3.0
10,SNX-USD,ALGO-USD,9.643957223850531,8.0
11,SNX-USD,SUSHI-USD,1.8544426723720693,7.0
12,SNX-USD,BTC-USD,0.00010895942664982254,4.0
13,SNX-USD,DOT-USD,0.37633833524040256,22.0
14,SNX-USD,SOL-USD,0.11127485783947759,21.0
15,SNX-USD,MATIC-USD,1.894925692844412,7.0
16,SNX-USD,ETH-USD,0.0015707278382935215,1.0
17,ICP-USD,ETH-USD,0.0038493257280078704,5.0
18,ETC-USD,BCH-USD,0.1646357000248171,20.0
19,ETC-USD,COMP-USD,0.4163575868966975,14.0
20,ETC-USD,ALGO-USD,82.69329444453703,8.0
21,ETC-USD,AAVE-USD,0.2584021802674216,10.0
22,ZEC-USD,COMP-USD,0.8756599673208268,13.0
23,ZEC-USD,ETH-USD,0.02830855139796131,1.0
24,LINK-USD,COMP-USD,0.14044401833114267,13.0
25,LINK-USD,EOS-USD,6.52854906049851,8.0
26,LINK-USD,SUSHI-USD,5.363109613637916,13.0
27,LINK-USD,DOT-USD,1.0899101344060216,10.0
28,MKR-USD,TRX-USD,10873.77285851257,22.0
29,MKR-USD,NEAR-USD,300.36172985790404,5.0
30,MKR-USD,ALGO-USD,2787.8890110911475,23.0
31,MKR-USD,UMA-USD,347.3687286759354,24.0
32,MKR-USD,BTC-USD,0.031493997601172136,8.0
33,MKR-USD,AVAX-USD,38.617600206407,5.0
34,ATOM-USD,BCH-USD,0.10151838628901397,22.0
35,ATOM-USD,CELO-USD,16.87648847844306,22.0
36,ATOM-USD,TRX-USD,199.0101472183306,19.0
37,ATOM-USD,BTC-USD,0.0005762274217792697,11.0
38,ATOM-USD,LTC-USD,0.1411262238027995,13.0
39,ATOM-USD,UNI-USD,2.0020502630566583,20.0
40,BCH-USD,COMP-USD,2.527897868502661,11.0
41,BCH-USD,XLM-USD,1493.5677956349386,16.0
42,BCH-USD,SOL-USD,5.796799366352737,17.0
43,BCH-USD,AVAX-USD,6.954065167147297,3.0
44,BCH-USD,ETH-USD,0.08172586101305543,1.0
45,CELO-USD,RUNE-USD,0.46155773420797697,14.0
46,CELO-USD,COMP-USD,0.015196447086662743,13.0
47,CELO-USD,EOS-USD,0.7059788779778088,15.0
48,CELO-USD,NEAR-USD,0.3253481143594144,4.0
49,CELO-USD,SUSHI-USD,0.5802425549587841,14.0
50,CELO-USD,BTC-USD,3.410903443046157e-05,3.0
51,CELO-USD,DOT-USD,0.11787635275588376,17.0
52,CELO-USD,UNI-USD,0.11845278291904321,12.0
53,CELO-USD,ETH-USD,0.00049136544303524,1.0
54,ENJ-USD,ZRX-USD,1.8994296428327093,6.0
55,ENJ-USD,SUSHI-USD,0.347235477035312,17.0
56,ENJ-USD,UMA-USD,0.22531392488936877,8.0
57,ENJ-USD,1INCH-USD,0.834620089922234,19.0
58,RUNE-USD,FIL-USD,0.2616945352457957,23.0
59,RUNE-USD,COMP-USD,0.03288950912457333,14.0
60,RUNE-USD,XLM-USD,19.43716248805468,8.0
61,RUNE-USD,EOS-USD,1.5266744094907811,21.0
62,RUNE-USD,NEAR-USD,0.7042692223843597,4.0
63,RUNE-USD,ALGO-USD,6.5332655047585755,8.0
64,RUNE-USD,XMR-USD,0.010833663256188954,7.0
65,RUNE-USD,SUSHI-USD,1.255857799914064,12.0
66,RUNE-USD,ADA-USD,4.480736758847886,9.0
67,RUNE-USD,UMA-USD,0.8135138503829463,20.0
68,RUNE-USD,DOGE-USD,20.35609579770153,10.0
69,RUNE-USD,AAVE-USD,0.0204141466898638,10.0
70,RUNE-USD,UNI-USD,0.25636900578029853,11.0
71,RUNE-USD,MATIC-USD,1.2839354070553182,6.0
72,RUNE-USD,AVAX-USD,0.0904720593610847,4.0
73,RUNE-USD,ETH-USD,0.0010638020113691747,1.0
74,FIL-USD,EOS-USD,5.527549429127189,17.0
75,FIL-USD,BTC-USD,0.0002659747787772462,17.0
76,FIL-USD,MATIC-USD,4.643643204396116,14.0
77,FIL-USD,AVAX-USD,0.3254905003644108,18.0
78,FIL-USD,ETH-USD,0.0038265535465670337,11.0
79,ZRX-USD,ETH-USD,0.00015473759895515257,1.0
80,TRX-USD,SUSHI-USD,0.04926990765259241,12.0
81,TRX-USD,AAVE-USD,0.0008010136965950492,6.0
82,TRX-USD,UNI-USD,0.010058988100493592,11.0
83,TRX-USD,ETH-USD,4.172748285368797e-05,1.0
84,COMP-USD,EOS-USD,46.430893838826194,10.0
85,COMP-USD,ALGO-USD,198.45655588015353,10.0
86,COMP-USD,SUSHI-USD,38.16165840280674,11.0
87,COMP-USD,DOT-USD,7.752421839334523,10.0
88,COMP-USD,SOL-USD,2.291183366105789,18.0
89,COMP-USD,UNI-USD,7.790032291076163,10.0
90,COMP-USD,ETH-USD,0.032312246987539636,1.0
91,XLM-USD,SUSHI-USD,0.064605916410986,12.0
92,XLM-USD,UMA-USD,0.04188765075543341,16.0
93,XLM-USD,ETH-USD,5.471716606956613e-05,1.0
94,EOS-USD,DOT-USD,0.1669077636588001,6.0
95,NEAR-USD,ALGO-USD,9.23545349683266,3.0
96,NEAR-USD,SUSHI-USD,1.7756974785416746,3.0
97,NEAR-USD,ADA-USD,6.333953008232703,3.0
